search_stage,merge_alpha,min_state_count,smoothing_alpha,max_pattern_distance,distance_penalty,min_anomaly_run,threshold,normal_states_before,normal_states_after,anomaly_states_before,anomaly_states_after,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_unique_score_count,validation_raw_predicted_anomaly_count,validation_predicted_anomaly_count,validation_normal_score_mean,validation_anomaly_score_mean,validation_score_mean_gap,validation_mapping_disagreement_count,validation_normal_distance_mean,validation_anomaly_distance_mean
state_merging,0.05,2,1.0,,0.0,1,-0.7427441216993174,49,18,42,20,0.4117647058823529,0.072,0.6923076923076923,0.13043478260869565,82,125,125,-0.126692785817273,-0.6579817397593829,-0.53128895394211,140,0.44607843137254904,0.45098039215686275
state_merging,0.05,5,0.1,,0.0,1,-3.7769168745891815,49,39,42,34,0.1568627450980392,0.06557377049180328,0.9230769230769231,0.12244897959183673,82,183,183,-0.041686001749293065,-1.5888006272101571,-1.547114625460864,140,0.44607843137254904,0.45098039215686275
state_merging,0.05,5,0.5,,0.0,1,-1.7227665977411035,49,39,42,34,0.23529411764705882,0.06666666666666667,0.8461538461538461,0.12359550561797752,81,165,165,-0.026554037720098057,-0.8034631434740651,-0.7769091057539671,140,0.44607843137254904,0.45098039215686275
state_merging,0.05,5,1.0,,0.0,1,-1.203972804325936,49,39,42,34,0.23529411764705882,0.06666666666666667,0.8461538461538461,0.12359550561797752,81,165,165,-0.01574135854973264,-0.5052439569348771,-0.4895025983851445,140,0.44607843137254904,0.45098039215686275
state_merging,0.05,10,0.1,,0.0,1,-3.066828195237721,49,45,42,40,0.19607843137254902,0.06857142857142857,0.9230769230769231,0.1276595744680851,84,175,175,-0.11549399277528066,-1.1338282691832595,-1.0183342764079788,140,0.44607843137254904,0.45098039215686275
state_merging,0.05,10,0.5,,0.0,1,-2.079441541679836,49,45,42,40,0.18627450980392157,0.06779661016949153,0.9230769230769231,0.12631578947368421,82,177,177,-0.07510802535250775,-0.5175473118715789,-0.4424392865190711,140,0.44607843137254904,0.45098039215686275
state_merging,0.05,10,1.0,,0.0,1,-1.2286654169163076,49,45,42,40,0.23529411764705882,0.06666666666666667,0.8461538461538461,0.12359550561797752,83,165,165,-0.055105403878598774,-0.2919190701360862,-0.23681366625748743,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,2,0.1,,0.0,1,-2.875462524132058,49,19,42,21,0.24019607843137256,0.07228915662650602,0.9230769230769231,0.1340782122905028,82,166,166,-0.439691512678549,-1.1898970446180863,-0.7502055319395373,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,2,0.5,,0.0,1,-2.367635778035258,49,19,42,21,0.20588235294117646,0.06936416184971098,0.9230769230769231,0.12903225806451613,80,173,173,-0.3475282358613716,-0.7967286787111889,-0.4492004428498173,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,2,1.0,,0.0,1,-2.128231705849268,49,19,42,21,0.1715686274509804,0.06666666666666667,0.9230769230769231,0.12435233160621761,78,180,180,-0.31723018065915665,-0.6589574051031579,-0.3417272244440013,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,5,0.1,,0.0,1,-3.4223995893127586,49,40,42,35,0.18137254901960784,0.06741573033707865,0.9230769230769231,0.1256544502617801,82,178,178,-0.13326136796566956,-1.1971092080675436,-1.063847840101874,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,5,0.5,,0.0,1,-1.7281866652104427,49,40,42,35,0.24509803921568626,0.06748466257668712,0.8461538461538461,0.125,81,163,163,-0.08716438950991451,-0.5562931577648222,-0.46912876825490774,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,5,1.0,,0.0,1,-1.2086131838824379,49,40,42,35,0.23039215686274508,0.06626506024096386,0.8461538461538461,0.12290502793296089,82,166,166,-0.06418780101695597,-0.3198449672129305,-0.2556571661959745,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,10,0.1,,0.0,1,-3.066828195237721,49,45,42,40,0.19607843137254902,0.06857142857142857,0.9230769230769231,0.1276595744680851,84,175,175,-0.11549399277528066,-1.1338282691832595,-1.0183342764079788,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,10,0.5,,0.0,1,-2.079441541679836,49,45,42,40,0.18627450980392157,0.06779661016949153,0.9230769230769231,0.12631578947368421,82,177,177,-0.07510802535250775,-0.5175473118715789,-0.4424392865190711,140,0.44607843137254904,0.45098039215686275
state_merging,0.1,10,1.0,,0.0,1,-1.2286654169163076,49,45,42,40,0.23529411764705882,0.06666666666666667,0.8461538461538461,0.12359550561797752,83,165,165,-0.055105403878598774,-0.2919190701360862,-0.23681366625748743,140,0.44607843137254904,0.45098039215686275
distance_and_temporal_persistence,0.1,2,0.1,,0.0,5,-1.8651411104855802,49,19,42,21,0.6127450980392157,0.0875,0.5384615384615384,0.15053763440860216,82,142,80,-0.439691512678549,-1.1898970446180863,-0.7502055319395373,140,0.44607843137254904,0.45098039215686275
distance_and_temporal_persistence,0.1,2,0.1,,0.25,5,-2.628080270984108,49,19,42,21,0.5147058823529411,0.08653846153846154,0.6923076923076923,0.15384615384615385,93,154,104,-0.43740093676231856,-1.2235508907719324,-0.7861499540096137,140,0.44607843137254904,0.45098039215686275
distance_and_temporal_persistence,0.1,2,0.1,,0.5,5,-2.628080270984108,49,19,42,21,0.5147058823529411,0.08653846153846154,0.6923076923076923,0.15384615384615385,93,154,104,-0.4351103608460882,-1.2572047369257786,-0.8220943760796904,140,0.44607843137254904,0.45098039215686275
distance_and_temporal_persistence,0.1,2,0.1,,1.0,5,-2.875462524132058,49,19,42,21,0.4950980392156863,0.10526315789473684,0.9230769230769231,0.1889763779527559,93,158,114,-0.43052920901362746,-1.324512429233471,-0.8939832202198434,140,0.44607843137254904,0.45098039215686275
distance_and_temporal_persistence,0.1,2,0.1,,2.0,5,-2.875462524132058,49,19,42,21,0.4950980392156863,0.10526315789473684,0.9230769230769231,0.1889763779527559,93,153,114,-0.4213669053487061,-1.4591278138488555,-1.0377609085001493,140,0.44607843137254904,0.45098039215686275
